code,name,industry,price,total_mv_yi,profit_cagr_3y,revenue_cagr_3y,np_yoy_latest,roe_ann,ocf_to_np,loss_q_3y,pe_ttm,peg,gross_margin,gross_margin_yoy,rev_yoy_latest,ocf_yoy,drr,drgs,ibr,arr,order_backlog_score,filter_pass,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
000783,长江证券,证券Ⅱ,9.25,512,34.8,18.3,51.7,15.8,0.56,0,9.9,0.29,,,34.7,1.85,,,,,,是,是,,,,国华人寿保险股份有限公司-分红三号[保险],3.804,总市值512亿≥30 | 净利CAGR3年+35%≥15% | 营收CAGR3年+18%≥10% | 最新期净利同比+52%≥10% | ROE年化15.8%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.56≥0.4 | PE(TTM)9.9≤80 | PEG 0.29≤1.5
002588,史丹利,农化制品,8.20,94,32.8,10.8,18.5,17.7,1.20,0,9.7,0.30,17.3,-0.7,19.2,-0.70,0.096,-21.8,-3.8,-12.9,12.5,否(经营现金流同比恶化),,,,,,3.374,总市值94亿≥30 | 净利CAGR3年+33%≥15% | 营收CAGR3年+11%≥10% | 最新期净利同比+19%≥10% | ROE年化17.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.20≥0.4 | PE(TTM)9.7≤80 | PEG 0.30≤1.5
605599,菜百股份,饰品,15.34,119,35.0,37.9,24.6,32.8,1.75,0,10.7,0.31,7.1,-1.2,73.6,-1.71,0.011,-65.4,-54.2,-108.8,5.7,否(经营现金流同比恶化),,,,,,3.262,总市值119亿≥30 | 净利CAGR3年+35%≥15% | 营收CAGR3年+38%≥10% | 最新期净利同比+25%≥10% | ROE年化32.8%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.75≥0.4 | PE(TTM)10.7≤80 | PEG 0.31≤1.5
603929,亚翔集成,专业工程,165.31,353,80.9,17.3,202.4,41.1,1.87,0,28.9,0.36,25.0,11.7,35.4,-5.37,0.081,-97.1,-44.5,147.3,8.9,否(经营现金流同比恶化),,,,是,高盛国际-自有资金[QFII],3.104,总市值353亿≥30 | 净利CAGR3年+81%≥15% | 营收CAGR3年+17%≥10% | 最新期净利同比+202%≥10% | ROE年化41.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.87≥0.4 | PE(TTM)28.9≤80 | PEG 0.36≤1.5
603166,福达股份,汽车零部件,11.40,74,69.0,20.6,15.4,11.2,1.30,0,22.5,0.33,28.3,1.2,7.0,-0.21,0.001,-37.1,19.2,-6.4,9.2,否(经营现金流同比恶化),,,,,,3.069,总市值74亿≥30 | 净利CAGR3年+69%≥15% | 营收CAGR3年+21%≥10% | 最新期净利同比+15%≥10% | ROE年化11.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.30≥0.4 | PE(TTM)22.5≤80 | PEG 0.33≤1.5
300442,润泽科技,通信服务,66.22,1087,61.5,27.9,35.4,16.7,0.67,0,20.2,0.33,46.8,-2.9,53.6,0.30,0.002,-144.8,-139.5,-27.3,0.1,是,,,,,,3.041,总市值1087亿≥30 | 净利CAGR3年+62%≥15% | 营收CAGR3年+28%≥10% | 最新期净利同比+35%≥10% | ROE年化16.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.67≥0.4 | PE(TTM)20.2≤80 | PEG 0.33≤1.5
003010,若羽臣,互联网电商,30.74,96,79.3,41.3,163.8,35.3,0.77,0,33.0,0.42,64.7,10.7,73.3,-0.64,0.002,961.0,21.9,-82.0,23.0,否(经营现金流同比恶化),,是,是,,基本养老保险基金一六零三二组合[养老]; 全国社保基金一一六组合[社保],3.001,总市值96亿≥30 | 净利CAGR3年+79%≥15% | 营收CAGR3年+41%≥10% | 最新期净利同比+164%≥10% | ROE年化35.3%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.77≥0.4 | PE(TTM)33.0≤80 | PEG 0.42≤1.5
000975,山金国际,贵金属,26.35,731,38.3,26.8,100.9,35.7,1.57,0,19.3,0.50,40.7,12.5,37.4,0.54,0.005,14.0,-57.0,-39.4,6.4,是,是,是,,是,全国社保基金一一二组合[社保]; 全国社保基金一零六组合[社保]; 景顺长城基金-中国人寿保险股份有限公司-传统险-景顺长城基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险/QFII]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],2.889,总市值731亿≥30 | 净利CAGR3年+38%≥15% | 营收CAGR3年+27%≥10% | 最新期净利同比+101%≥10% | ROE年化35.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.57≥0.4 | PE(TTM)19.3≤80 | PEG 0.50≤1.5
001221,悍高集团,家居用品,41.27,165,50.7,30.4,11.2,17.8,1.39,0,22.6,0.45,36.2,1.1,12.5,-0.22,0.011,-7.0,10.5,-11.7,9.6,否(经营现金流同比恶化),,,是,是,中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金[QFII]; 基本养老保险基金二一零一组合[养老]; 中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金[QFII]; 招商银行股份有限公司-交银施罗德启诚混合型证券投资基金[QFII]; 高盛公司有限责任公司[QFII],2.842,总市值165亿≥30 | 净利CAGR3年+51%≥15% | 营收CAGR3年+30%≥10% | 最新期净利同比+11%≥10% | ROE年化17.8%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.39≥0.4 | PE(TTM)22.6≤80 | PEG 0.45≤1.5
300573,兴齐眼药,化学制药,38.26,136,48.7,25.5,41.5,39.7,1.08,0,17.2,0.35,82.1,1.9,27.5,-0.24,0.001,31.6,-10.0,-15.0,8.7,否(经营现金流同比恶化),,,,,,2.837,总市值136亿≥30 | 净利CAGR3年+49%≥15% | 营收CAGR3年+26%≥10% | 最新期净利同比+41%≥10% | ROE年化39.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.08≥0.4 | PE(TTM)17.2≤80 | PEG 0.35≤1.5
