code,name,industry,price,total_mv_yi,profit_cagr_3y,revenue_cagr_3y,np_yoy_latest,roe_ann,ocf_to_np,loss_q_3y,pe_ttm,peg,gross_margin,gross_margin_yoy,rev_yoy_latest,ocf_yoy,drr,drgs,ibr,arr,order_backlog_score,filter_pass,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
603193,润本股份,个护用品,20.69,84,25.3,21.7,19.1,9.4,0.87,0,23.8,0.94,59.1,1.4,11.3,0.04,0.002,-56.3,10.7,7.4,8.5,是,是,,是,是,利安人寿保险股份有限公司-利安禧年金保险(分红型)[保险]; 高盛公司有限责任公司[QFII]; 平安安赢股票型养老金产品-中国银行股份有限公司[保险]; 基本养老保险基金一二零六组合[养老],1.962,总市值84亿≥30 | 净利CAGR3年+25%≥15% | 营收CAGR3年+22%≥10% | 最新期净利同比+19%≥10% | ROE年化9.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.87≥0.4 | PE(TTM)23.8≤80 | PEG 0.94≤1.5
601958,金钼股份,小金属,22.62,730,33.2,13.2,33.0,18.6,0.51,0,20.8,0.63,38.3,1.3,26.7,0.17,0.023,91.6,10.4,-25.8,11.5,是,,是,,,全国社保基金五零三组合[社保],1.899,总市值730亿≥30 | 净利CAGR3年+33%≥15% | 营收CAGR3年+13%≥10% | 最新期净利同比+33%≥10% | ROE年化18.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.51≥0.4 | PE(TTM)20.8≤80 | PEG 0.63≤1.5
600109,国金证券,证券Ⅱ,8.70,320,23.9,13.8,18.8,7.7,1.79,0,12.9,0.54,,,28.8,5.36,,,,,,是,,,,,,1.845,总市值320亿≥30 | 净利CAGR3年+24%≥15% | 营收CAGR3年+14%≥10% | 最新期净利同比+19%≥10% | ROE年化7.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.79≥0.4 | PE(TTM)12.9≤80 | PEG 0.54≤1.5
600906,财达证券,证券Ⅱ,6.74,219,35.1,18.0,114.5,8.2,3.95,0,19.2,0.55,,,51.1,0.97,,,,,,是,,,,,,1.829,总市值219亿≥30 | 净利CAGR3年+35%≥15% | 营收CAGR3年+18%≥10% | 最新期净利同比+115%≥10% | ROE年化8.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 3.95≥0.4 | PE(TTM)19.2≤80 | PEG 0.55≤1.5
002517,恺英网络,游戏Ⅱ,17.17,367,22.9,12.6,50.7,30.5,1.19,0,15.4,0.67,80.7,-2.8,64.2,0.02,0.111,167.5,37.1,-72.3,17.8,是,是,,,,信泰人寿保险股份有限公司-传统产品[保险]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险]; 中国人寿保险股份有限公司-万能-国寿瑞安[保险],1.788,总市值367亿≥30 | 净利CAGR3年+23%≥15% | 营收CAGR3年+13%≥10% | 最新期净利同比+51%≥10% | ROE年化30.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.19≥0.4 | PE(TTM)15.4≤80 | PEG 0.67≤1.5
600531,豫光金铅,工业金属,13.65,165,26.5,22.3,20.1,16.1,0.53,0,17.9,0.68,6.0,0.7,57.3,0.51,0.007,-77.5,-20.8,-62.2,7.0,是,,,,是,高盛国际-自有资金[QFII],1.778,总市值165亿≥30 | 净利CAGR3年+26%≥15% | 营收CAGR3年+22%≥10% | 最新期净利同比+20%≥10% | ROE年化16.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.53≥0.4 | PE(TTM)17.9≤80 | PEG 0.68≤1.5
601799,星宇股份,汽车零部件,78.39,224,19.9,22.8,10.3,12.4,1.49,0,14.1,0.71,19.3,0.5,10.8,0.11,0.000,-2.1,-21.2,-13.0,7.7,是,,,,是,阿布达比投资局-自有资金[QFII]; 施罗德投资管理(香港)有限公司-施罗德环球基金系列中国A股(交易所)[QFII],1.713,总市值224亿≥30 | 净利CAGR3年+20%≥15% | 营收CAGR3年+23%≥10% | 最新期净利同比+10%≥10% | ROE年化12.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.49≥0.4 | PE(TTM)14.1≤80 | PEG 0.71≤1.5
600301,华锡有色,小金属,47.82,302,54.1,28.0,18.5,14.9,1.82,0,31.8,0.59,41.5,6.5,-7.0,0.33,0.011,73.4,35.9,-22.9,12.0,是,,,,,,1.705,总市值302亿≥30 | 净利CAGR3年+54%≥15% | 营收CAGR3年+28%≥10% | 最新期净利同比+19%≥10% | ROE年化14.9%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.82≥0.4 | PE(TTM)31.8≤80 | PEG 0.59≤1.5
688018,乐鑫科技,半导体,125.69,295,72.3,26.4,44.8,12.0,0.99,0,51.6,0.71,48.5,5.1,16.2,-0.65,0.015,69.0,47.8,-11.9,12.6,否(经营现金流同比恶化),,是,,,全国社保基金一一四组合[社保],1.701,总市值295亿≥30 | 净利CAGR3年+72%≥15% | 营收CAGR3年+26%≥10% | 最新期净利同比+45%≥10% | ROE年化12.0%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.99≥0.4 | PE(TTM)51.6≤80 | PEG 0.71≤1.5
605117,德业股份,光伏设备,88.04,1121,27.8,27.1,68.4,43.5,1.25,0,25.7,0.92,41.4,4.2,73.8,1.28,0.044,-4.3,81.3,-23.7,14.6,是,是,是,,,全国社保基金一零三组合[社保]; 中国太平洋人寿保险股份有限公司-分红-个人分红[保险]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],1.685,总市值1121亿≥30 | 净利CAGR3年+28%≥15% | 营收CAGR3年+27%≥10% | 最新期净利同比+68%≥10% | ROE年化43.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.25≥0.4 | PE(TTM)25.7≤80 | PEG 0.92≤1.5
601108,财通证券,证券Ⅱ,8.89,413,20.2,12.8,113.0,6.4,2.02,0,12.0,0.59,,,54.4,-1.37,,,,,,否(经营现金流同比恶化),,,,,,1.684,总市值413亿≥30 | 净利CAGR3年+20%≥15% | 营收CAGR3年+13%≥10% | 最新期净利同比+113%≥10% | ROE年化6.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 2.02≥0.4 | PE(TTM)12.0≤80 | PEG 0.59≤1.5
300236,上海新阳,电子化学品Ⅱ,88.33,277,78.1,17.4,102.6,7.8,1.57,0,72.7,0.93,42.2,2.9,33.0,0.08,0.009,73.5,-12.1,-26.5,9.6,是,,是,是,,全国社保基金一一三组合[社保]; 基本养老保险基金八零二组合[养老],1.674,总市值277亿≥30 | 净利CAGR3年+78%≥15% | 营收CAGR3年+17%≥10% | 最新期净利同比+103%≥10% | ROE年化7.8%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.57≥0.4 | PE(TTM)72.7≤80 | PEG 0.93≤1.5
300476,胜宏科技,元件,243.14,2390,76.0,34.7,40.0,30.5,1.06,0,47.6,0.63,34.5,1.1,28.0,1.93,0.001,-17.4,91.5,-12.5,12.9,是,,,,,,1.599,总市值2390亿≥30 | 净利CAGR3年+76%≥15% | 营收CAGR3年+35%≥10% | 最新期净利同比+40%≥10% | ROE年化30.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.06≥0.4 | PE(TTM)47.6≤80 | PEG 0.63≤1.5
002947,恒铭达,消费电子,66.89,171,40.1,22.7,39.9,19.1,1.29,0,31.0,0.77,34.7,4.6,10.0,-0.35,0.000,-56.5,8.0,0.2,8.3,否(经营现金流同比恶化),,是,,,全国社保基金一零三组合[社保],1.592,总市值171亿≥30 | 净利CAGR3年+40%≥15% | 营收CAGR3年+23%≥10% | 最新期净利同比+40%≥10% | ROE年化19.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.29≥0.4 | PE(TTM)31.0≤80 | PEG 0.77≤1.5
002850,科达利,电池,176.88,506,25.2,20.7,19.1,13.6,1.07,0,26.1,1.04,21.2,-1.0,37.1,-1.68,0.000,-79.3,-4.8,-6.7,7.4,否(经营现金流同比恶化),是,,,是,瑞众人寿保险有限责任公司-自有资金[保险]; 阿布达比投资局-自有资金[QFII]; 高盛国际-自有资金[QFII]; 中汇人寿保险股份有限公司-传统产品[保险]; 香港上海汇丰银行有限公司[QFII],1.563,总市值506亿≥30 | 净利CAGR3年+25%≥15% | 营收CAGR3年+21%≥10% | 最新期净利同比+19%≥10% | ROE年化13.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.07≥0.4 | PE(TTM)26.1≤80 | PEG 1.04≤1.5
688002,睿创微纳,军工电子Ⅱ,185.00,861,53.1,33.6,228.3,27.4,1.61,0,42.4,0.80,53.4,7.5,71.1,1.49,0.057,78.0,-59.7,-63.8,9.5,是,,,,是,阿布达比投资局-自有资金[QFII],1.554,总市值861亿≥30 | 净利CAGR3年+53%≥15% | 营收CAGR3年+34%≥10% | 最新期净利同比+228%≥10% | ROE年化27.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.61≥0.4 | PE(TTM)42.4≤80 | PEG 0.80≤1.5
300693,盛弘股份,其他电源设备Ⅱ,40.75,127,28.7,32.1,16.9,15.4,1.47,0,23.4,0.81,40.6,1.0,23.1,0.06,0.092,-19.2,-33.1,-4.7,11.0,是,,是,,,汇添富基金管理股份有限公司-社保基金17022组合[社保],1.527,总市值127亿≥30 | 净利CAGR3年+29%≥15% | 营收CAGR3年+32%≥10% | 最新期净利同比+17%≥10% | ROE年化15.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.47≥0.4 | PE(TTM)23.4≤80 | PEG 0.81≤1.5
002475,立讯精密,消费电子,57.62,4459,21.9,15.8,20.2,16.8,1.04,0,25.1,1.14,11.9,0.7,35.8,-0.05,0.003,54.5,11.8,18.6,10.2,否(经营现金流同比恶化),是,,,是,阿布达比投资局-自有资金[QFII]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],1.474,总市值4459亿≥30 | 净利CAGR3年+22%≥15% | 营收CAGR3年+16%≥10% | 最新期净利同比+20%≥10% | ROE年化16.8%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.04≥0.4 | PE(TTM)25.1≤80 | PEG 1.14≤1.5
002463,沪电股份,元件,124.91,2404,41.1,31.5,62.9,31.2,1.01,0,47.5,1.16,35.6,2.9,53.9,-0.47,0.004,13.9,41.0,28.0,11.1,否(经营现金流同比恶化),是,是,,,平安银行股份有限公司-永赢科技智选混合型发起式证券投资基金[保险]; 富国基金管理有限公司-社保基金2101组合[社保]; 全国社保基金一零九组合[社保]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],1.465,总市值2404亿≥30 | 净利CAGR3年+41%≥15% | 营收CAGR3年+31%≥10% | 最新期净利同比+63%≥10% | ROE年化31.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.01≥0.4 | PE(TTM)47.5≤80 | PEG 1.16≤1.5
002273,水晶光电,光学光电子,26.71,371,26.7,16.6,11.7,10.0,1.13,0,31.1,1.16,29.5,1.5,16.1,0.15,0.001,-46.5,19.0,-6.1,9.0,是,是,,,是,平安银行股份有限公司-东吴移动互联灵活配置混合型证券投资基金[保险]; 招商银行股份有限公司-景顺长城品质长青混合型证券投资基金[QFII],1.460,总市值371亿≥30 | 净利CAGR3年+27%≥15% | 营收CAGR3年+17%≥10% | 最新期净利同比+12%≥10% | ROE年化10.0%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.13≥0.4 | PE(TTM)31.1≤80 | PEG 1.16≤1.5
603893,瑞芯微,半导体,194.59,823,51.8,29.4,57.2,28.9,1.02,0,60.2,1.16,43.0,2.1,36.2,0.16,0.014,29.2,52.2,42.3,12.3,是,是,,,是,景顺长城基金-中国人寿保险股份有限公司-分红险-景顺长城基金国寿股份成长股票型组合单一资产管理计划(可供出售)[保险/QFII],1.460,总市值823亿≥30 | 净利CAGR3年+52%≥15% | 营收CAGR3年+29%≥10% | 最新期净利同比+57%≥10% | ROE年化28.9%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.02≥0.4 | PE(TTM)60.2≤80 | PEG 1.16≤1.5
002028,思源电气,电网设备,140.12,1097,37.2,26.9,23.2,13.9,0.71,0,33.0,0.89,29.0,-1.4,41.6,0.10,0.167,7.9,-14.4,-10.9,15.6,是,,,,是,高盛国际-自有资金[QFII],1.426,总市值1097亿≥30 | 净利CAGR3年+37%≥15% | 营收CAGR3年+27%≥10% | 最新期净利同比+23%≥10% | ROE年化13.9%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.71≥0.4 | PE(TTM)33.0≤80 | PEG 0.89≤1.5
301109,军信股份,环境治理,13.03,103,15.4,20.5,27.1,11.2,2.35,0,13.8,0.90,56.8,7.2,-3.5,0.04,0.008,594.2,21.2,7.1,18.3,是,是,,,,广发基金-中国人寿保险股份有限公司-传统险-广发基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险],1.415,总市值103亿≥30 | 净利CAGR3年+15%≥15% | 营收CAGR3年+20%≥10% | 最新期净利同比+27%≥10% | ROE年化11.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 2.35≥0.4 | PE(TTM)13.8≤80 | PEG 0.90≤1.5
000061,农 产 品,一般零售,6.23,124,22.6,14.5,80.9,6.2,2.17,0,28.4,1.26,25.7,4.1,-18.5,-0.08,0.103,19.4,32.5,11.8,15.2,否(经营现金流同比恶化),是,是,,,富德生命人寿保险股份有限公司-万能H[保险]; 富德生命人寿保险股份有限公司-分红[保险]; 富德生命人寿保险股份有限公司-万能G[保险]; 全国社保基金一一四组合[社保]; 全国社保基金四一三组合[社保],1.394,总市值124亿≥30 | 净利CAGR3年+23%≥15% | 营收CAGR3年+14%≥10% | 最新期净利同比+81%≥10% | ROE年化6.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 2.17≥0.4 | PE(TTM)28.4≤80 | PEG 1.26≤1.5
301031,中熔电气,其他电子Ⅱ,97.10,142,38.1,42.3,87.4,29.2,1.06,0,27.4,0.72,35.9,-2.7,61.9,0.95,0.001,-65.8,2.3,-22.6,8.0,是,,,,,,1.392,总市值142亿≥30 | 净利CAGR3年+38%≥15% | 营收CAGR3年+42%≥10% | 最新期净利同比+87%≥10% | ROE年化29.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.06≥0.4 | PE(TTM)27.4≤80 | PEG 0.72≤1.5
688188,柏楚电子,计算机设备,99.00,402,32.4,34.7,23.9,20.3,0.99,0,31.9,0.98,74.5,-3.2,10.5,-0.24,0.034,7.8,55.7,31.7,13.1,否(毛利率同比下滑>3pct；经营现金流同比恶化),,是,,,全国社保基金一一四组合[社保],1.316,总市值402亿≥30 | 净利CAGR3年+32%≥15% | 营收CAGR3年+35%≥10% | 最新期净利同比+24%≥10% | ROE年化20.3%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.99≥0.4 | PE(TTM)31.9≤80 | PEG 0.98≤1.5
300602,飞荣达,消费电子,46.20,271,55.9,16.5,33.9,7.6,1.19,0,60.1,1.07,20.9,3.4,39.1,0.06,0.001,-98.8,-8.1,-10.2,7.0,是,,,,是,高盛国际-自有资金[QFII],1.231,总市值271亿≥30 | 净利CAGR3年+56%≥15% | 营收CAGR3年+17%≥10% | 最新期净利同比+34%≥10% | ROE年化7.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.19≥0.4 | PE(TTM)60.1≤80 | PEG 1.07≤1.5
601890,亚星锚链,航海装备Ⅱ,8.80,84,28.7,11.4,60.8,8.8,0.81,0,23.7,0.83,25.3,-2.7,-7.0,-0.45,0.141,89.5,31.9,48.2,17.8,否(经营现金流同比恶化),,,,,,1.208,总市值84亿≥30 | 净利CAGR3年+29%≥15% | 营收CAGR3年+11%≥10% | 最新期净利同比+61%≥10% | ROE年化8.8%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.81≥0.4 | PE(TTM)23.7≤80 | PEG 0.83≤1.5
603508,思维列控,计算机设备,21.41,82,17.1,12.5,26.7,15.7,1.21,0,14.3,0.84,62.7,0.7,18.7,0.37,0.013,-56.4,-25.2,-34.1,7.3,是,,,,,,1.195,总市值82亿≥30 | 净利CAGR3年+17%≥15% | 营收CAGR3年+13%≥10% | 最新期净利同比+27%≥10% | ROE年化15.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.21≥0.4 | PE(TTM)14.3≤80 | PEG 0.84≤1.5
688127,蓝特光学,光学光电子,69.99,284,59.4,59.2,184.4,23.0,1.48,0,51.0,0.86,46.5,11.8,76.5,0.39,0.011,776.7,-51.0,-16.1,17.4,是,,,,,,1.165,总市值284亿≥30 | 净利CAGR3年+59%≥15% | 营收CAGR3年+59%≥10% | 最新期净利同比+184%≥10% | ROE年化23.0%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.48≥0.4 | PE(TTM)51.0≤80 | PEG 0.86≤1.5
600114,东睦股份,通用设备,31.21,208,51.0,17.5,12.7,14.5,1.85,0,43.8,0.86,26.5,4.6,5.3,0.26,0.001,31.1,13.4,-0.5,9.8,是,,,,,,1.163,总市值208亿≥30 | 净利CAGR3年+51%≥15% | 营收CAGR3年+17%≥10% | 最新期净利同比+13%≥10% | ROE年化14.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.85≥0.4 | PE(TTM)43.8≤80 | PEG 0.86≤1.5
688617,惠泰医疗,医疗器械,245.16,347,31.9,28.6,25.3,30.2,1.18,0,37.2,1.17,72.4,-0.7,24.8,-0.35,0.031,62.6,-13.0,-37.8,10.3,否(经营现金流同比恶化),是,,,,兴证全球基金-中国人寿保险股份有限公司-分红险-兴证全球基金国寿股份均衡股票型组合单一资产管理计划[保险],1.156,总市值347亿≥30 | 净利CAGR3年+32%≥15% | 营收CAGR3年+29%≥10% | 最新期净利同比+25%≥10% | ROE年化30.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.18≥0.4 | PE(TTM)37.2≤80 | PEG 1.17≤1.5
688486,龙迅股份,半导体,43.05,80,35.4,33.1,33.6,9.6,0.65,0,44.0,1.24,54.9,0.5,17.6,0.08,0.000,-28.8,27.7,67.4,9.7,是,,是,,,汇添富基金管理股份有限公司-社保基金17022组合[社保]; 全国社保基金一一零组合[社保],1.105,总市值80亿≥30 | 净利CAGR3年+35%≥15% | 营收CAGR3年+33%≥10% | 最新期净利同比+34%≥10% | ROE年化9.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.65≥0.4 | PE(TTM)44.0≤80 | PEG 1.24≤1.5
605020,永和股份,化学制品,34.55,176,23.2,11.0,85.1,12.4,1.10,0,22.0,0.95,27.2,3.8,16.4,0.35,0.018,-19.5,-5.8,13.9,9.0,是,,,,,,1.057,总市值176亿≥30 | 净利CAGR3年+23%≥15% | 营收CAGR3年+11%≥10% | 最新期净利同比+85%≥10% | ROE年化12.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.10≥0.4 | PE(TTM)22.0≤80 | PEG 0.95≤1.5
603092,德力佳,风电设备,43.21,173,15.3,20.4,48.9,15.1,0.81,0,20.4,1.34,23.7,-2.3,31.7,,0.001,-97.7,7.6,-16.4,7.8,是,,,,是,澳门金融管理局-自有资金[QFII]; 科威特政府投资局-自有资金[QFII],1.047,总市值173亿≥30 | 净利CAGR3年+15%≥15% | 营收CAGR3年+20%≥10% | 最新期净利同比+49%≥10% | ROE年化15.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.81≥0.4 | PE(TTM)20.4≤80 | PEG 1.34≤1.5
001389,广合科技,元件,162.73,769,53.7,31.5,63.3,37.1,1.01,0,52.0,0.97,36.9,1.7,71.4,0.18,0.002,79.7,87.3,16.1,14.1,是,,,,,,1.033,总市值769亿≥30 | 净利CAGR3年+54%≥15% | 营收CAGR3年+31%≥10% | 最新期净利同比+63%≥10% | ROE年化37.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.01≥0.4 | PE(TTM)52.0≤80 | PEG 0.97≤1.5
001337,四川黄金,贵金属,53.50,225,32.8,29.5,176.9,54.0,1.38,0,32.6,0.99,69.5,6.4,130.8,0.80,0.308,16.5,6.1,-199.7,23.0,是,,,,,,1.008,总市值225亿≥30 | 净利CAGR3年+33%≥15% | 营收CAGR3年+30%≥10% | 最新期净利同比+177%≥10% | ROE年化54.0%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.38≥0.4 | PE(TTM)32.6≤80 | PEG 0.99≤1.5
603025,大豪科技,自动化设备,13.78,154,17.7,23.4,41.3,33.5,0.54,0,18.2,1.03,47.6,7.2,15.6,0.10,0.080,100.3,18.9,21.8,14.6,是,,,,,,0.972,总市值154亿≥30 | 净利CAGR3年+18%≥15% | 营收CAGR3年+23%≥10% | 最新期净利同比+41%≥10% | ROE年化33.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.54≥0.4 | PE(TTM)18.2≤80 | PEG 1.03≤1.5
688612,威迈斯,汽车零部件,34.38,144,23.7,18.3,30.0,14.2,1.49,0,25.2,1.06,24.0,6.1,0.8,-0.67,0.024,-56.6,-4.7,-24.5,8.8,否(经营现金流同比恶化),,,,,,0.944,总市值144亿≥30 | 净利CAGR3年+24%≥15% | 营收CAGR3年+18%≥10% | 最新期净利同比+30%≥10% | ROE年化14.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.49≥0.4 | PE(TTM)25.2≤80 | PEG 1.06≤1.5
