signal_id,触发日期,yaml_version_at_trigger,触发任务,桶,规则ID,标的代码,标的名称,申万一级行业,分桶基准代码,触发时指标值,阈值,当时组合状态,信号方向,建议动作,是否实际执行,执行日期,执行价格,回测预期胜率,回测预期中位收益_60d,回测预期中位收益_120d,回测预期中位收益_250d,事后60日收益%,事后120日收益%,事后250日收益%,事后60日超额沪深300%,事后120日超额沪深300%,事后250日超额沪深300%,事后60日超额分桶基准%,事后120日超额分桶基准%,事后250日超额分桶基准%,信号最终评价,备注
SIG-20260824-C-74,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002812,恩捷股份,电池,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-75,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002326,永太科技,化学制品,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-76,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002378,章源钨业,小金属,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-77,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300358,楚天科技,医疗器械,000905,0.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中demand[在手订单充足]、supply[产能利用率]，加权分0.0（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-78,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300970,华绿生物,种植业,000905,3.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[量价齐升,价格上涨]，加权分3.0。"
SIG-20260824-C-79,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301099,雅创电子,其他电子Ⅱ,000905,5.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[供不应求]、price[提价,涨价]、supply[产能紧张]，加权分5.5。"
SIG-20260824-C-80,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002192,融捷股份,能源金属,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[量价齐升]，加权分1.5。
SIG-20260824-C-81,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002185,华天科技,半导体,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-82,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,920167,?,光伏设备,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-83,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,920403,?,种植业,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-84,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,920471,?,化学制品,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-85,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300861,美畅股份,通用设备,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-86,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301358,湖南裕能,电池,000905,2.6,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中supply[产能利用率,满产满销]，加权分2.6。"
SIG-20260824-C-87,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002213,大为股份,半导体,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-88,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301292,海科新源,电池,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[量价齐升]、supply[满产满销]，加权分2.8。
SIG-20260824-C-89,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002636,金安国纪,元件,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[满产满销]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-90,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002759,ST天际,电池,000905,4.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中demand[订单饱满]、price[量价齐升]、supply[满产满销]，加权分4.0。
SIG-20260824-C-91,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,920765,?,家居用品,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-92,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300540,蜀道装备,专用设备,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[价格上涨]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-93,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300042,朗科科技,计算机设备,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]、supply[满产满销]，加权分2.8。
SIG-20260824-C-94,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300975,商络电子,元件,000905,4.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中demand[供不应求]、price[涨价]、supply[产能紧张]，加权分4.0。
SIG-20260824-C-95,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301002,崧盛股份,电网设备,000905,1.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中demand[供不应求]，加权分1.2（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-96,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301500,飞南资源,环境治理,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-97,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301511,德福科技,电池,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-98,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002386,天原股份,化学原料,000905,1.1,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"关键词命中price[涨价]、supply[产能利用率,满产满销]，加权分1.1（低于1.5但命中类别≥1，按宽松规则PASS）。"
SIG-20260824-C-99,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300098,高新兴,通信设备,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[价格上涨]，加权分1.5。
SIG-20260824-C-100,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002458,益生股份,养殖业,000905,5.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[涨价,量价齐升,销售均价]、supply[供给偏紧]，加权分5.8。"
SIG-20260824-C-101,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000703,恒逸石化,炼化及贸易,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[满产满销]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-102,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300503,昊志机电,通用设备,000905,4.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[供不应求]、price[提价,涨价]，加权分4.2。"
SIG-20260824-C-103,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300613,富瀚微,半导体,000905,4.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中demand[供不应求]、price[涨价]、supply[产能紧张]，加权分4.0。
SIG-20260824-C-104,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002407,多氟多,化学制品,000905,0.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"关键词命中demand[供不应求]、supply[产能利用率,满产满销]，加权分0.8（低于1.5但命中类别≥1，按宽松规则PASS）。"
SIG-20260824-C-105,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300283,温州宏丰,电网设备,000905,3.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[涨价,量价齐升]，加权分3.0。"
SIG-20260824-C-106,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,920971,?,非金属材料Ⅱ,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-107,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,920957,?,化学制品,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
