signal_id,触发日期,yaml_version_at_trigger,触发任务,桶,规则ID,标的代码,标的名称,申万一级行业,分桶基准代码,触发时指标值,阈值,当时组合状态,信号方向,建议动作,是否实际执行,执行日期,执行价格,回测预期胜率,回测预期中位收益_60d,回测预期中位收益_120d,回测预期中位收益_250d,事后60日收益%,事后120日收益%,事后250日收益%,事后60日超额沪深300%,事后120日超额沪深300%,事后250日超额沪深300%,事后60日超额分桶基准%,事后120日超额分桶基准%,事后250日超额分桶基准%,信号最终评价,备注
SIG-20260824-C-09,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,688308,欧科亿,通用设备,000905,4.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"预告文本命中price[提价,量价齐升]、supply[产能利用率]，加权分4.3。"
SIG-20260824-C-10,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002297,博云新材,航空装备Ⅱ,000905,5.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[量价齐升,价格持续上涨]、demand[供不应求]、supply[产能利用率]，加权分5.5。"
SIG-20260824-C-11,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000603,盛达资源,贵金属,000905,3.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[价格上涨,销售均价]，加权分3.0。"
SIG-20260824-C-12,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,688257,新锐股份,通用设备,000905,3.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"预告文本命中price[提价,价格上涨]，加权分3.0。"
SIG-20260824-C-13,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,688059,华锐精密,通用设备,000905,3.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"预告文本命中price[量价齐升,价格持续上涨]，加权分3.0。"
SIG-20260824-C-14,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002475,立讯精密,消费电子,000905,5.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[涨价,价格上涨,提价]、supply[产能利用率]，加权分5.8。"
SIG-20260824-C-15,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,001309,德明利,半导体,000905,4.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[价格持续上涨,涨价]、supply[供应偏紧]，加权分4.3。"
SIG-20260824-C-16,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,688388,嘉元科技,电池,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,预告文本命中price[加工费上涨]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-17,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300475,香农芯创,其他电子Ⅱ,000905,5.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[价格持续上涨]、demand[供不应求]、supply[产能紧张,产能利用率]，加权分5.3。"
SIG-20260824-C-18,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002466,天齐锂业,能源金属,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[销售均价]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-19,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300497,富祥股份,化学制药,000905,4.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[量价齐升]、demand[供不应求]、supply[满产满销]，加权分4.0。
SIG-20260824-C-20,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002132,恒星科技,通用设备,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[价格稳步回升]，加权分1.5。
SIG-20260824-C-21,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,605189,富春染织,纺织制造,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,预告文本命中price[价格上涨]，加权分1.5。
SIG-20260824-C-22,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,603026,石大胜华,电池,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,预告文本命中price[价格上涨]，加权分1.5。
SIG-20260824-C-23,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002460,赣锋锂业,能源金属,000905,1.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中price[价格上涨]、demand[需求旺盛]、supply[产能利用率]，加权分1.0（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-24,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300821,东岳硅材,化学制品,000905,4.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[价格上涨,提价,涨价]，加权分4.5。"
