code,name,industry,price,dividend_yield_ttm,dividend_percentile_5y,roe_5y_avg,fcf_coverage,pb,pb_percentile,dividend_years,loss_q_3y,ocf_ps_annual,quality_score,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
603967,中创物流,物流,11.53,5.64,,14.3,1.0,1.72,14.0,5,0,1.92,0.691,是,,,,泰康人寿保险有限责任公司-分红-个人分红-019L-FH002沪[保险],3.895,股息率5.64%≥3.0% | PB 1.72≤4.0 | ROE年化14.3%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.92≥0
601229,上海银行,银行Ⅱ,9.51,5.47,,10.5,1.0,0.53,73.5,5,0,-4.77,0.690,是,,,是,"西班牙桑坦德银行有限公司(BANCO SANTANDER,S.A.)[QFII]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]",3.774,股息率5.47%≥3.0% | PB 0.53≤4.0 | ROE年化10.5%≥6.0% | 近3年亏损季度0 | ⚠️年报经营现金流/股-4.77<0（借钱分红嫌疑，请人工复核）
600757,长江传媒,出版,7.38,5.56,,9.3,1.0,0.90,55.0,5,0,0.51,0.675,是,,,是,工银瑞信基金-中国人寿保险股份有限公司-分红险-工银瑞信基金国寿股份价值股票型组合单一资产管理计划(分红险)[保险/QFII]; 交通银行股份有限公司-景顺长城中证红利低波动100交易型开放式指数证券投资基金[QFII],3.750,股息率5.56%≥3.0% | PB 0.90≤4.0 | ROE年化9.3%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.51≥0
600282,南钢股份,普钢,4.40,5.55,,9.4,1.0,1.00,50.0,5,0,0.60,0.676,是,是,,,全国社保基金一零三组合[社保]; 嘉实基金-中国人寿保险股份有限公司-传统险-嘉实基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险]; 平安资管-招商银行-平安资产开阳5号资产管理产品[保险],3.750,股息率5.55%≥3.0% | PB 1.00≤4.0 | ROE年化9.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.60≥0
601166,兴业银行,银行Ⅱ,17.88,5.96,,9.6,1.0,0.45,77.5,5,0,30.89,0.628,是,,,,中国人民财产保险股份有限公司-传统-普通保险产品-008C-CT001沪[保险]; 中国人民人寿保险股份有限公司-分红-个险分红[保险]; 大家人寿保险股份有限公司-传统产品[保险]; 瑞众人寿保险有限责任公司-自有资金[保险],3.741,股息率5.96%≥3.0% | PB 0.45≤4.0 | ROE年化9.6%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股30.89≥0
600039,四川路桥,基础建设,8.61,5.71,,11.4,1.0,1.48,26.0,5,0,0.89,0.652,是,,,,中邮人寿保险股份有限公司-传统保险[保险]; 中邮人寿保险股份有限公司-分红保险产品三[保险],3.723,股息率5.71%≥3.0% | PB 1.48≤4.0 | ROE年化11.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.89≥0
600729,重百集团,一般零售,18.14,5.24,,11.1,1.0,1.01,49.5,5,0,4.10,0.697,是,是,,,招商基金管理有限公司-社保基金1903组合[社保]; 富国基金-中国人寿保险股份有限公司-传统险-富国基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险],3.655,股息率5.24%≥3.0% | PB 1.01≤4.0 | ROE年化11.1%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股4.10≥0
600295,鄂尔多斯,冶钢原料,12.80,5.47,,12.5,1.0,1.67,16.5,5,0,1.61,0.667,是,,,,太保致远(上海)私募基金管理有限公司-太保致远1号私募证券投资基金[保险],3.650,股息率5.47%≥3.0% | PB 1.67≤4.0 | ROE年化12.5%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.61≥0
000672,上峰材料,水泥,15.56,4.03,,28.2,1.0,1.54,23.0,5,0,1.04,0.876,,,是,,基本养老保险基金八零二组合[养老],3.531,股息率4.03%≥3.0% | PB 1.54≤4.0 | ROE年化28.2%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.04≥0
601818,光大银行,银行Ⅱ,3.00,5.83,,6.6,1.0,0.35,82.5,5,0,2.76,0.587,是,,,,中国人寿再保险有限责任公司[保险]; 中国再保险(集团)股份有限公司[保险],3.425,股息率5.83%≥3.0% | PB 0.35≤4.0 | ROE年化6.6%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.76≥0
