bucket,horizon,n,win_rate_pct,median_ret_pct,mean_ret_pct
B成长,60,789,45.88,-2.06,1.61
B成长,120,786,42.62,-4.68,-0.46
C热门,60,4781,49.22,-0.27,3.12
C热门,120,4780,50.02,0.13,5.33
