threshold,horizon,n,win_rate_pct,median_ret_pct,mean_ret_pct
60,60,378,50.0,0.09,1.57
60,120,372,50.81,0.33,1.31
60,250,349,50.43,0.19,3.55
70,60,422,48.1,-0.55,1.31
70,120,420,43.1,-1.93,1.97
70,250,403,53.1,1.53,5.75
80,60,400,49.25,-0.14,1.12
80,120,399,52.38,0.49,1.62
80,250,385,52.99,2.53,6.24
90,60,451,51.44,0.61,1.41
90,120,447,51.45,0.54,3.44
90,250,431,54.06,2.17,5.83
