bucket,horizon,n,win_rate_pct,median_ret_pct,mean_ret_pct
B成长,60,359,46.52,-1.98,3.01
B成长,120,358,43.3,-4.17,0.41
C热门,60,2089,48.25,-0.79,2.66
C热门,120,2089,49.4,-0.15,4.81
